common_name,latin_name,plant_part,constituent,class,subclass,importance,status,notes
Indian Gooseberry,Phyllanthus emblica,Fruit,Emblicanin A,Tannin,Hydrolyzable tannin,High,Marker,Characteristic hydrolyzable tannin contributing antioxidant activity and one of the defining constituents of amla fruit.
Indian Gooseberry,Phyllanthus emblica,Fruit,Chebulagic acid,Tannin,Ellagitannin,Moderate,Major,Characteristic hydrolyzable tannin complementing the emblicanins and contributing to the fruit's distinctive antioxidant chemistry.
Indian Gooseberry,Phyllanthus emblica,Fruit,Pedunculagin,Tannin,Ellagitannin,Moderate,Major,Major ellagitannin complementing the emblicanins within the hydrolyzable tannin profile.
Indian Gooseberry,Phyllanthus emblica,Fruit,Punigluconin,Tannin,Hydrolyzable tannin,Moderate,Major,Characteristic ellagitannin contributing antioxidant activity and reinforcing the fruit's tannin chemistry.
Indian Gooseberry,Phyllanthus emblica,Fruit,1-O-Galloyl-β-D-glucose,Polyphenol,Gallotannin precursor,High,Major,Principal galloyl glucose and precursor to the characteristic hydrolyzable tannins of amla fruit.
Indian Gooseberry,Phyllanthus emblica,Fruit,Emblicanin B,Tannin,Hydrolyzable tannin,High,Major,Companion hydrolyzable tannin complementing emblicanin A within the characteristic tannin fraction.
Nettles,Urtica dioica,Leaf,Caffeic acid,Polyphenol,Hydroxycinnamic acid,Moderate,Present,Complements the phenolic acid profile and contributes antioxidant activity.
Nettles,Urtica dioica,Leaf,Caffeoylmalic acid,Polyphenol,Hydroxycinnamic acid derivative,Low–Moderate,Present,Characteristic phenolic acid derivative contributing antioxidant activity and complementing the caffeic acid-rich profile.
Nettles,Urtica dioica,Leaf,Isoquercitrin,Flavonoid,Flavonol glycoside,Low–Moderate,Present,Characteristic flavonoid glycoside contributing antioxidant and anti-inflammatory activity while complementing rutin.
Nettles,Urtica dioica,Leaf,Rutin,Flavonoid,Flavonol glycoside,High,Marker,Principal flavonoid contributing antioxidant activity and supporting capillary integrity.
Nettles,Urtica dioica,Leaf,Chlorogenic acid,Polyphenol,Caffeoylquinic acid,Moderate,Major,Contributes antioxidant activity and supports the herb's anti-inflammatory effects.
Nettles,Urtica dioica,Leaf,Quercetin,Flavonoid,Flavonol,High,Major,Contributes anti-inflammatory activity and complements the flavonoid profile.
